sku,moq,lead_time
SC-BIRT-008U-2,300,45
WH-CRBP-020G-1,1,45
WH-CRLC-020G-1,1,45
WH-WOLC-020G-1,1,45
WH-WOSA-020G-1,1,45
PA-FUNA-250G-1,1,21
SC-BILP-008U-2,1,45
SC-BIPI-008U-2,1,7
BU-PBCH-012U-1,1,7
SC-TACI-100G-1,1,7
SC-TACH-100G-1,1,7
PB-CFNA-200G-1,1,7
PA-PENE-250G-1,1,7
PB-TINA-500G-1,1,7
PB-CPNA-005K-2,1,7
PB-CFNA-005K-1,1,7
BU-GBSN-SU-1,1,7
EX-BIMX-080U-1,1,7
SC-BILP-080G-1,1,7
SC-BIPI-080G-1,1,7
SC-BIRT-080G-1,1,7
SC-TAGA-100G-1,1,7
BA-PBCH-040G-1,1,7
BA-PACH-750G-1,1,7
BU-BMX-01U-1,1,7
BANCALE,1,7
IN-MITI-250G-1,1,7
SC-TLCI-200G-1_old,1,7
SC-CPCH-007U-1,1,7
BOX_DISC,1,7
IN-GRCH-080G-1,1,7
SC-TLCI-200G-1,1,7
PA-TONE-001U-1,1,7
SC-CPCH-040G-1,1,7
MU-MUGS-024U-1,1,7
MU-MUGS-111G-1,1000,90
PA-TOHA-001U-1,1,7
PA-TOBA-001U-1,1,7
